drugName,avg_sentiment,avg_rating,review_count,avg_usefulness,demand,demand_scaled,effectiveness_score,sentiment_per_review,engagement_score,popularity,top_side_effects,sentiment_rating_proxy,sentiment_usefulness,rating_variation_proxy,insights,actions,performance_score,risk_score,opportunity_score,drug_category
A + D Cracked Skin Relief,0.1788,10.0,1,6.0,39.879999999999995,0.0089233013288914,10.0,0.0894,6.0,low,[],0.1788,1.0728,0.1428571428571428,['Underrated drug opportunity'],['Increase marketing efforts'],3.0723634104275304,0.41644752160541265,0.5879943159541161,High Performer
A / B Otic,0.3291,10.0,1,20.0,123.91,0.0148107464503325,10.0,0.16455,20.0,low,"[('pain', 1)]",0.3291,6.582,0.0476190476190476,[],[],3.134260536260664,0.3546946507920155,0.6601824395655597,High Performer
Abacavir / dolutegravir / lamivudine,0.0237393939393939,7.575757575757576,33,14.303030303030305,203.98,0.0204207396774394,7.575757575757576,0.0006982174688057,472.00000000000006,high,"[('headache', 7), ('pain', 6), ('nausea', 4)]",0.7833999999999988,0.3395452708907249,2.156435643564356,['Multiple side effects reported'],['Review drug safety profile'],2.286536943517866,0.5053119421362214,0.5046798416116376,High Performer
Abacavir / lamivudine / zidovudine,-0.0772,9.0,1,1.0,17.28,0.0073398637501151,9.0,-0.0386,1.0,low,[],-0.0772,-0.0772,0.5,['Negative patient sentiment detected'],['Investigate patient complaints'],2.669485449653654,0.5396628326101973,0.46079091724390986,High Performer
Abatacept,-0.1119214285714285,7.0,14,57.642857142857146,193.09357142857144,0.0196579971951977,7.0,-0.0074614285714285,807.0,high,"[('pain', 5), ('nausea', 2), ('rash', 1)]",-1.566899999999999,-6.4514709183673435,0.2387332521315469,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']",2.0593151079002134,0.6126038704867132,0.4372331534996444,High Performer
Abilify,0.0488133333333333,6.628070175438596,285,43.03508771929825,1530.9515087719296,0.1133931535250023,6.628070175438596,0.0001706759906759,12265.0,high,"[('anxiety', 44), ('weight gain', 39), ('insomnia', 11)]",13.91179999999999,2.1006860818713435,6.472111553784861,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']",2.040324030562244,0.546955256636026,0.47044392567111354,High Performer
Abilify Discmelt,0.8242,8.0,1,8.0,130.42000000000002,0.0152668605493517,8.0,0.4121,8.0,low,[],0.8242,6.5936,0.1111111111111111,[],[],2.7324382143419887,0.09566139720349873,0.9075029760966855,High Performer
Abilify Maintena,-0.13455,5.5,2,6.0,18.545,0.0074284942163608,5.5,-0.04485,12.0,low,"[('insomnia', 1), ('anxiety', 1)]",-0.2691,-0.8073,0.2857142857142857,['Negative patient sentiment detected'],['Investigate patient complaints'],1.596572202767767,0.5732284164165669,0.4320713287203882,High Performer
Abiraterone,-0.0093,10.0,2,46.5,107.07,0.0136308752633152,10.0,-0.0031,93.0,low,"[('diarrhea', 1)]",-0.0186,-0.4324499999999999,0.0421052631578947,['Negative patient sentiment detected'],['Investigate patient complaints'],2.998544392038006,0.5493593972778109,0.4915760132699901,High Performer
AbobotulinumtoxinA,0.947,8.0,1,3.0,127.7,0.0150762875310211,8.0,0.4735,3.0,low,[],0.947,2.8409999999999997,0.25,[],[],2.781500689859469,0.029476708208283464,0.9689988502342182,High Performer
Abraxane,-0.84465,9.5,2,11.0,-38.465,0.0034341678284831,9.5,-0.28155,22.0,low,[],-1.6893,-9.29115,0.1666666666666666,['Negative patient sentiment detected'],['Investigate patient complaints'],2.511326514992604,0.9330631054117823,0.07903080834566018,High Performer
Abreva,-0.0956972727272727,6.281818181818182,110,12.654545454545454,592.7393636363636,0.0476586239908451,6.281818181818182,-0.0008621375921375,1392.0,high,"[('pain', 19), ('fever', 4)]",-10.526699999999996,-1.2110054876033054,8.055925432756325,"['Negative patient sentiment detected', 'High market demand']","['Investigate patient complaints', 'Increase production and distribution']",1.8588022164700577,0.5716066784657673,0.43125857861051015,High Performer
Absorbine Jr.,0.8721,10.0,1,1.0,114.21,0.014131129436433,10.0,0.43605,1.0,low,"[('pain', 1)]",0.8721,0.8721,0.5,[],[],3.35125539380462,0.06501283261019732,0.9320243436589668,High Performer
Absorica,-0.9601,1.0,1,4.0,-80.00999999999999,0.0005233751643123,1.0,-0.48005,4.0,low,[],-0.9601,-3.8404,0.2,['Negative patient sentiment detected'],['Investigate patient complaints'],-0.08573210803176291,0.9839836460073266,0.022770180052938183,High Risk
Acamprosate,0.42492125,8.85,80,65.3,618.092125,0.0494349299673464,8.85,0.0052459413580246,5224.0,high,"[('anxiety', 4), ('dizziness', 3), ('diarrhea', 3)]",33.9937,27.747357624999996,1.206636500754148,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']",2.838040349132382,0.3584989981698523,0.6906742097793629,High Performer
Acanya,0.2996322580645161,7.580645161290323,31,12.064516129032258,231.09225806451613,0.022320322344025,7.580645161290323,0.0093635080645161,374.0,high,"[('pain', 2)]",9.2886,3.61491821019771,2.3728395061728396,['High market demand'],['Increase production and distribution'],2.398933754024467,0.3650116016245595,0.6416706250129856,High Performer
Acarbose,-0.9121,1.0,1,4.0,-30.210000000000008,0.0040125429263945,1.0,-0.45605,4.0,low,"[('diarrhea', 1), ('pain', 1)]",-0.9121,-3.6484,0.2,['Negative patient sentiment detected'],['Investigate patient complaints'],-0.06547890243269044,0.9599836460073267,0.04501483738781725,High Risk
Accolate,0.22625,10.0,2,19.0,87.625,0.0122684883730804,10.0,0.0754166666666666,38.0,low,[],0.4525,4.29875,0.1,[],[],3.092353155434111,0.40526860780412666,0.6100364076098149,High Performer
Accutane,0.1520225296442687,8.411067193675889,253,23.32806324110672,1370.8583794466404,0.1021764509994469,8.411067193675889,0.0005985138962372,5902.0,high,"[('pain', 50), ('headache', 10), ('anxiety', 6)]",38.461699999999986,3.5463911856145214,10.399512591389117,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']",2.6131210519036205,0.47310362789377375,0.5276914615835571,High Performer
Acebutolol,0.25985,9.5,2,13.0,99.985,0.0131344745887298,9.5,0.0866166666666666,26.0,low,[],0.5197,3.3780500000000004,0.1428571428571428,[],[],2.9560545534502665,0.3827269810098683,0.626400744249556,High Performer
Acetaminophen,-0.0234,6.428571428571429,7,11.428571428571429,60.51714285714286,0.0103692140509522,6.428571428571429,-0.002925,80.0,medium,"[('pain', 6), ('fever', 2), ('dizziness', 1)]",-0.1638,-0.2674285714285714,0.5632183908045977,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']",1.9204912878826137,0.5233776956671434,0.48616690114802497,High Performer
Acetaminophen / aspirin / caffeine,-0.07156,7.6,55,10.527272727272727,297.89854545454546,0.0270010119879144,7.6,-0.0012778571428571,579.0,high,"[('pain', 26), ('headache', 21), ('nausea', 6)]",-3.9358,-0.7533316363636363,4.771293375394322,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']",2.2576761689965514,0.5516781598070464,0.45371971833908004,High Performer
Acetaminophen / aspirin / caffeine / salicylamide,0.8353,10.0,1,7.0,123.53,0.014784122278654,10.0,0.41765,7.0,low,"[('headache', 1), ('pain', 1)]",0.8353,5.8471,0.125,[],[],3.3367324997520766,0.08915445940445567,0.9132958337465386,High Performer
Acetaminophen / butalbital,-0.3601222222222222,8.777777777777779,9,8.666666666666666,35.32111111111111,0.0086038891172041,8.777777777777779,-0.0360122222222222,78.0,medium,"[('headache', 8), ('vomiting', 1), ('pain', 1)]",-3.241099999999999,-3.1210592592592588,0.9310344827586208,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']",2.49003144026749,0.6893076253365393,0.31869389585047914,High Performer
Acetaminophen / butalbital / caffeine,0.1189975308641975,9.08641975308642,81,25.320987654320987,470.54172839506174,0.0390970165714348,9.08641975308642,0.0014511894007828,2051.0,high,"[('headache', 61), ('pain', 22), ('nausea', 4)]",9.638799999999996,3.0131350099070255,3.077392120075047,"['Multiple side effects reported', 'High market demand']","['Review drug safety profile', 'Increase production and distribution']",2.783476287326684,0.47330932446691826,0.5429131836736335,High Performer
Acetaminophen / butalbital / caffeine / codeine,-0.2473,9.142857142857142,7,9.0,68.27,0.010912407207717,9.142857142857142,-0.0309125,63.0,medium,"[('headache', 5), ('pain', 4), ('vomiting', 1)]",-1.7311,-2.2257,0.7,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']",2.6453809650709714,0.6330037038694674,0.37394362964361844,High Performer
Acetaminophen / caffeine,-0.7723,9.0,1,5.0,-44.23,0.0030302511186758,9.0,-0.38615,5.0,low,"[('headache', 1)]",-0.7723,-3.8615,0.1666666666666666,['Negative patient sentiment detected'],['Investigate patient complaints'],2.3901445926978515,0.8910405838063696,0.1154090121702469,High Performer
Acetaminophen / caffeine / dihydrocodeine,-0.6368428571428572,8.428571428571429,7,5.142857142857143,26.60142857142857,0.0079929566832071,8.428571428571429,-0.0796053571428571,36.0,medium,"[('pain', 6), ('constipation', 1)]",-4.4579,-3.2751918367346944,1.1395348837209305,['Negative patient sentiment detected'],['Investigate patient complaints'],2.2743968715278347,0.8240840866445871,0.18064092840598922,High Performer
Acetaminophen / caffeine / isometheptene mucate,-0.25762,8.6,5,7.4,35.038,0.008584053330819,8.6,-0.0429366666666666,37.0,medium,"[('headache', 4), ('pain', 2)]",-1.2881,-1.906388,0.5952380952380952,['Negative patient sentiment detected'],['Investigate patient complaints'],2.4776930083891626,0.63642081376869,0.3699549860180621,High Performer
Acetaminophen / caffeine / magnesium salicylate,0.8988,10.0,1,5.0,148.88,0.0165602347840513,10.0,0.4494,5.0,low,"[('pain', 1)]",0.8988,4.494,0.1666666666666666,[],[],3.362668619469677,0.05549058380636954,0.9441523008838716,High Performer
Acetaminophen / chlorpheniramine,0.8166,9.0,1,7.0,121.66,0.0146531033285517,9.0,0.4083,7.0,low,[],0.8166,5.7162,0.125,[],[],3.029212951670344,0.0985044594044557,0.9040117472160922,High Performer
Acetaminophen / chlorpheniramine / phenylephrine,-0.7902,2.0,2,2.0,-62.02,0.0017838195024621,2.0,-0.2634,4.0,low,"[('headache', 1), ('anxiety', 1)]",-1.5804,-1.5804,0.6666666666666666,['Negative patient sentiment detected'],['Investigate patient complaints'],0.2826083572037253,0.8972256652203946,0.10708607132712444,High Risk
Acetaminophen / codeine,-0.4613685185185185,5.314814814814815,54,19.64814814814815,270.15944444444443,0.0250575104418585,5.314814814814815,-0.0083885185185185,1061.0,high,"[('pain', 48), ('headache', 4), ('nausea', 3)]",-24.9139,-9.065037002743484,2.6152466367713005,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']",1.4156105599191897,0.7552046347057499,0.25979320260381933,High Performer
Acetaminophen / dextromethorphan / phenylephrine,-0.0754,10.0,1,1.0,8.46,0.0067219027127343,10.0,-0.0377,1.0,low,[],-0.0754,-0.0754,0.5,['Negative patient sentiment detected'],['Investigate patient complaints'],2.9700189180596017,0.5387628326101973,0.46200180323399753,High Performer
Acetaminophen / dichloralphenazone / isometheptene mucate,0.0050413793103448,8.931034482758621,29,8.068965517241379,166.64206896551724,0.017804709451167,8.931034482758621,0.0001680459770114,234.0,high,"[('headache', 14), ('pain', 6), ('nausea', 6)]",0.1461999999999992,0.0406787158145063,3.197718631178707,['Multiple side effects reported'],['Review drug safety profile'],2.6848511608102683,0.5082717579709243,0.4966469158909317,High Performer
Acetaminophen / diphenhydramine,0.0395454545454545,5.363636363636363,11,22.818181818181817,115.5909090909091,0.0142278809119825,5.363636363636363,0.0032954545454545,250.99999999999997,medium,"[('pain', 4), ('insomnia', 2), ('dry mouth', 1)]",0.4349999999999995,0.9023553719008254,0.4618320610687023,['Multiple side effects reported'],['Review drug safety profile'],1.6273536891552036,0.5032276963372249,0.5156983968625388,High Performer
Acetaminophen / diphenhydramine / phenylephrine,-0.8176,1.0,1,3.0,-58.760000000000005,0.0020122268700201,1.0,-0.4088,3.0,low,[],-0.8176,-2.4528,0.25,['Negative patient sentiment detected'],['Investigate patient complaints'],-0.028282698012078354,0.9117767082082835,0.09327116335346392,High Risk
Acetaminophen / hydrocodone,-0.3086399280575539,8.10431654676259,278,30.41726618705036,1423.9705395683454,0.1058976806554951,8.10431654676259,-0.0011062363012815,8456.0,high,"[('pain', 234), ('nausea', 22), ('headache', 17)]",-85.80189999999999,-9.38798284767869,8.848637508587132,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']",2.3379541282512917,0.7128661532876023,0.29548814356199593,High Performer
Acetaminophen / oxycodone,-0.2683838709677419,8.543010752688172,186,32.494623655913976,985.1508602150536,0.0751523899212227,8.543010752688172,-0.0014352078661376,6044.0,high,"[('pain', 168), ('nausea', 14), ('constipation', 9)]",-49.9194,-8.72103288241415,5.553130016051365,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']",2.476384344124367,0.6849837040005851,0.33108362000777536,High Performer
Acetaminophen / pamabrom,0.24228,9.8,5,10.4,91.028,0.0125069148368227,9.8,0.04038,52.0,medium,"[('pain', 5)]",1.2114,2.519712,0.4385964912280701,[],[],3.038837124483381,0.38934162716581905,0.617931459194365,High Performer
Acetaminophen / pentazocine,-0.65535,8.5,2,15.5,4.465000000000003,0.0064419985920612,8.5,-0.21845,31.0,low,"[('pain', 2)]",-1.3107,-10.157925,0.1212121212121212,['Negative patient sentiment detected'],['Investigate patient complaints'],2.2879544289759006,0.8427193255074759,0.1721676183734987,High Performer
Acetaminophen / phenyltoloxamine,0.4906333333333333,9.0,3,9.333333333333334,88.73,0.0123459086617772,9.0,0.1226583333333333,28.0,medium,"[('pain', 2), ('headache', 1), ('dry mouth', 1)]",1.4719,4.579244444444445,0.2903225806451612,['Multiple side effects reported'],['Review drug safety profile'],2.898129858088468,0.26393243722453136,0.7421891254081089,High Performer
Acetaminophen / propoxyphene,-0.3887181818181818,7.227272727272728,22,20.181818181818183,145.4918181818182,0.0163228465356161,7.227272727272728,-0.0169007905138339,444.00000000000006,high,"[('pain', 20), ('headache', 3), ('constipation', 1)]",-8.5518,-7.845039669421488,1.03862660944206,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']",2.0157715092603357,0.7160015214260809,0.30051263608125944,High Performer
Acetaminophen / pseudoephedrine,0.4462333333333333,10.0,3,7.0,111.62333333333332,0.0139498982327264,10.0,0.1115583333333333,21.0,medium,"[('headache', 2), ('dry mouth', 1)]",1.3387,3.1236333333333333,0.375,[],[],3.1808540224830084,0.28389958236009755,0.719182184750542,High Performer
Acetaminophen / tramadol,-0.2373588235294117,8.0,17,51.05882352941177,204.38176470588235,0.0204488887629757,8.0,-0.0131866013071895,868.0,high,"[('pain', 16), ('fever', 1), ('sweating', 1)]",-4.035099999999999,-12.119262283737022,0.3265536723163841,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']",2.309378880607041,0.6693397417642916,0.37411657153728345,High Performer
Acetazolamide,-0.1637604166666666,6.9375,48,16.4375,278.49895833333335,0.0256418068878936,6.9375,-0.0033420493197278,789.0,high,"[('headache', 19), ('pain', 9), ('nausea', 4)]",-7.8604999999999965,-2.6918118489583325,2.752688172043011,"['Negative patient sentiment detected', 'Multiple side effects reported', 'High market demand']","['Investigate patient complaints', 'Review drug safety profile', 'Increase production and distribution']",2.021635726149649,0.6026928243405077,0.4083033036394735,High Performer
Acetohydroxamic acid,-0.7346,9.0,1,4.0,-24.460000000000008,0.0044154086820566,9.0,-0.3673,4.0,low,[],-0.7346,-2.9384,0.2,['Negative patient sentiment detected'],['Investigate patient complaints'],2.4056427026314595,0.8712336460073266,0.13356216228090073,High Performer
Acetylcysteine,0.1361428571428571,9.571428571428571,7,27.857142857142858,122.32857142857142,0.0146999458561666,9.571428571428571,0.0170178571428571,195.0,medium,"[('headache', 1)]",0.9529999999999996,3.792551020408162,0.2425742574257425,[],[],2.9284728053771825,0.4593273880799936,0.5637596100856482,High Performer
Acidophilus,0.1099375,9.0,8,55.625,210.24375,0.0208596006125748,9.0,0.0122152777777777,445.0,medium,"[('pain', 2), ('constipation', 1)]",0.8795,6.1152734375,0.141280353200883,[],[],2.7484213834271083,0.49910807356100434,0.5475581109548191,High Performer
Aciphex,-0.10546875,9.4375,16,24.4375,133.328125,0.0154706142842534,9.4375,-0.006204044117647,391.0,high,"[('pain', 5), ('headache', 2), ('diarrhea', 1)]",-1.6875,-2.577392578125,0.628992628992629,"['Negative patient sentiment detected', 'Multiple side effects reported']","['Investigate patient complaints', 'Review drug safety profile']",2.791882217424977,0.5778138594425828,0.4425660959583721,High Performer
Acitretin,0.0179833333333333,7.5,6,45.0,156.79833333333335,0.017115021800037,7.5,0.0025690476190476,270.0,medium,"[('weakness', 1)]",0.1078999999999998,0.8092499999999985,0.1304347826086956,[],[],2.2605094153130905,0.5347059031571966,0.5034648633670714,High Performer
Aclidinium,0.7099666666666667,9.333333333333334,3,31.0,176.99666666666667,0.0185301899428976,9.333333333333334,0.1774916666666667,93.0,medium,[],2.1299,22.00896666666667,0.09375,[],[],3.087729917276115,0.1749994228704643,0.8487445823175868,High Performer
Acrivastine / pseudoephedrine,-0.5574,10.0,1,11.0,-12.740000000000002,0.0052365541875105,10.0,-0.2787,11.0,low,[],-0.5574,-6.1314,0.0833333333333333,['Negative patient sentiment detected'],['Investigate patient complaints'],2.7767705654752572,0.789332210600628,0.2217490575412377,High Performer
Actemra,0.2542399999999999,7.8,10,22.5,157.42399999999998,0.0171588582651603,7.8,0.0231127272727272,225.0,medium,"[('pain', 6), ('fatigue', 2), ('headache', 1)]",2.542399999999999,5.720399999999998,0.425531914893617,['Multiple side effects reported'],['Review drug safety profile'],2.44502531402065,0.3954700485900115,0.6215711432989158,High Performer
Acthar,0.26765,7.5,2,7.5,99.765,0.0131190605946001,7.5,0.0892166666666666,15.0,low,[],0.5353,2.007375,0.2352941176470588,[],[],2.3591699007347686,0.3735638231151315,0.6303084987753859,High Performer
Acticlate,0.1055999999999999,8.0,2,9.0,66.55999999999999,0.0107925984351635,8.0,0.0351999999999999,18.0,low,"[('headache', 1), ('pain', 1)]",0.2111999999999998,0.9503999999999992,0.2,[],[],2.4436476579251862,0.4560242298136961,0.5504539034580231,High Performer
Actifed,0.3258,8.666666666666666,3,7.0,61.58,0.0104436816589553,8.666666666666666,0.08145,21.0,medium,[],0.9774,2.2805999999999997,0.375,['Underrated drug opportunity'],['Increase marketing efforts'],2.7316223373652786,0.3441162490267642,0.6607294377245352,High Performer
Actiq,0.0129428571428571,8.714285714285714,7,40.714285714285715,147.72285714285715,0.016479161178564,8.714285714285714,0.0016178571428571,285.0,medium,"[('pain', 6), ('headache', 2)]",0.0905999999999997,0.5269591836734676,0.1678082191780822,[],[],2.6225870045375124,0.5332308740676901,0.5012645162470026,High Performer
Activella,0.3269,8.0,1,27.0,103.69,0.0133940602625955,8.0,0.16345,27.0,low,"[('headache', 1), ('anxiety', 1)]",0.3269,8.8263,0.0357142857142857,[],[],2.5329529094089924,0.3624932153853169,0.6597951509850124,High Performer
ActoPlus Met,-0.4476,5.0,2,12.5,15.240000000000002,0.0071969339863671,5.0,-0.1492,25.0,low,[],-0.8952,-5.595,0.1481481481481481,['Negative patient sentiment detected'],['Investigate patient complaints'],1.3212823062917642,0.7359735121103468,0.2756628228470594,High Performer
