drugName,avg_sentiment,avg_rating,review_count,avg_usefulness,demand,demand_scaled,effectiveness_score,sentiment_per_review,engagement_score,popularity,top_side_effects,sentiment_rating_proxy,sentiment_usefulness,rating_variation_proxy
A + D Cracked Skin Relief,0.1788,10.0,1,6.0,39.879999999999995,0.008923301328891414,10.0,0.0894,6.0,low,[],0.1788,1.0728,0.14285714285714285
A / B Otic,0.3291,10.0,1,20.0,123.91,0.01481074645033257,10.0,0.16455,20.0,low,"[('pain', 1)]",0.3291,6.582,0.047619047619047616
Abacavir / dolutegravir / lamivudine,0.0237393939393939,7.575757575757576,33,14.303030303030305,203.98000000000002,0.020420739677439476,7.575757575757576,0.0006982174688057029,472.00000000000006,high,"[('headache', 7), ('pain', 6), ('nausea', 4)]",0.7833999999999988,0.3395452708907249,2.156435643564356
Abacavir / lamivudine / zidovudine,-0.0772,9.0,1,1.0,17.28,0.007339863750115143,9.0,-0.0386,1.0,low,[],-0.0772,-0.0772,0.5
Abatacept,-0.1119214285714285,7.0,14,57.642857142857146,193.09357142857144,0.01965799719519772,7.0,-0.007461428571428567,807.0,high,"[('pain', 5), ('nausea', 2), ('rash', 1)]",-1.566899999999999,-6.4514709183673435,0.2387332521315469
Abilify,0.0488133333333333,6.628070175438596,285,43.03508771929825,1530.9515087719296,0.11339315352500233,6.628070175438596,0.00017067599067599056,12265.0,high,"[('anxiety', 44), ('weight gain', 39), ('insomnia', 11)]",13.91179999999999,2.1006860818713435,6.472111553784861
Abilify Discmelt,0.8242,8.0,1,8.0,130.42000000000002,0.015266860549351755,8.0,0.4121,8.0,low,[],0.8242,6.5936,0.1111111111111111
Abilify Maintena,-0.13455,5.5,2,6.0,18.545,0.007428494216360806,5.5,-0.04485,12.0,low,"[('insomnia', 1), ('anxiety', 1)]",-0.2691,-0.8073,0.2857142857142857
Abiraterone,-0.0093,10.0,2,46.5,107.07,0.013630875263315207,10.0,-0.0031,93.0,low,"[('diarrhea', 1)]",-0.0186,-0.43244999999999995,0.042105263157894736
AbobotulinumtoxinA,0.947,8.0,1,3.0,127.69999999999999,0.015076287531021155,8.0,0.4735,3.0,low,[],0.947,2.8409999999999997,0.25
Abraxane,-0.84465,9.5,2,11.0,-38.465,0.00343416782848314,9.5,-0.28155,22.0,low,[],-1.6893,-9.29115,0.16666666666666666
Abreva,-0.0956972727272727,6.281818181818182,110,12.654545454545454,592.7393636363636,0.047658623990845125,6.281818181818182,-0.0008621375921375919,1392.0,high,"[('pain', 19), ('fever', 4)]",-10.526699999999996,-1.2110054876033054,8.055925432756325
Absorbine Jr.,0.8721,10.0,1,1.0,114.21,0.014131129436433021,10.0,0.43605,1.0,low,"[('pain', 1)]",0.8721,0.8721,0.5
Absorica,-0.9601,1.0,1,4.0,-80.00999999999999,0.000523375164312335,1.0,-0.48005,4.0,low,[],-0.9601,-3.8404,0.2
Acamprosate,0.42492125,8.85,80,65.3,618.092125,0.049434929967346414,8.85,0.005245941358024691,5224.0,high,"[('anxiety', 4), ('dizziness', 3), ('diarrhea', 3)]",33.9937,27.747357624999996,1.206636500754148
Acanya,0.2996322580645161,7.580645161290323,31,12.064516129032258,231.09225806451613,0.02232032234402509,7.580645161290323,0.009363508064516128,374.0,high,"[('pain', 2)]",9.288599999999999,3.61491821019771,2.3728395061728396
Acarbose,-0.9121,1.0,1,4.0,-30.210000000000008,0.004012542926394561,1.0,-0.45605,4.0,low,"[('diarrhea', 1), ('pain', 1)]",-0.9121,-3.6484,0.2
Accolate,0.22625,10.0,2,19.0,87.625,0.01226848837308049,10.0,0.07541666666666667,38.0,low,[],0.4525,4.29875,0.1
Accutane,0.1520225296442687,8.411067193675889,253,23.32806324110672,1370.8583794466404,0.1021764509994469,8.411067193675889,0.0005985138962372784,5902.0,high,"[('pain', 50), ('headache', 10), ('anxiety', 6)]",38.461699999999986,3.5463911856145214,10.399512591389115
Acebutolol,0.25985,9.5,2,13.0,99.985,0.013134474588729813,9.5,0.08661666666666668,26.0,low,[],0.5197,3.3780500000000004,0.14285714285714285
Acetaminophen,-0.0234,6.428571428571429,7,11.428571428571429,60.51714285714286,0.010369214050952225,6.428571428571429,-0.002925,80.0,medium,"[('pain', 6), ('fever', 2), ('dizziness', 1)]",-0.1638,-0.26742857142857146,0.5632183908045977
