drugName,avg_sentiment,avg_rating,review_count,avg_usefulness,top_side_effects,sentiment_rating_interaction
A + D Cracked Skin Relief,0.1788,10.0,1,6.0,[],1.7879999999999998
A / B Otic,0.3291,10.0,1,20.0,"[('pain', 1)]",3.291
Abacavir / dolutegravir / lamivudine,0.023739393939393942,7.575757575757576,33,14.303030303030303,"[('headache', 7), ('pain', 6), ('nausea', 4)]",0.17984389348025714
Abacavir / lamivudine / zidovudine,-0.0772,9.0,1,1.0,[],-0.6948000000000001
Abatacept,-0.11192142857142857,7.0,14,57.642857142857146,"[('pain', 5), ('nausea', 2), ('rash', 1)]",-0.78345
Abilify,0.048813333333333334,6.628070175438596,285,43.03508771929825,"[('anxiety', 44), ('weight gain', 39), ('insomnia', 11)]",0.32353819883040935
Abilify Discmelt,0.8242,8.0,1,8.0,[],6.5936
Abilify Maintena,-0.13455,5.5,2,6.0,"[('insomnia', 1), ('anxiety', 1)]",-0.740025
Abiraterone,-0.009300000000000003,10.0,2,46.5,"[('diarrhea', 1)]",-0.09300000000000003
AbobotulinumtoxinA,0.947,8.0,1,3.0,[],7.576
Abraxane,-0.84465,9.5,2,11.0,[],-8.024175
Abreva,-0.09569727272727273,6.281818181818182,110,12.654545454545454,"[('pain', 19), ('fever', 4)]",-0.6011528677685951
Absorbine Jr.,0.8721,10.0,1,1.0,"[('pain', 1)]",8.721
Absorica,-0.9601,1.0,1,4.0,[],-0.9601
Acamprosate,0.42492125,8.85,80,65.3,"[('anxiety', 4), ('dizziness', 3), ('diarrhea', 3)]",3.7605530624999997
Acanya,0.29963225806451615,7.580645161290323,31,12.064516129032258,"[('pain', 2)]",2.271405827263268
Acarbose,-0.9121,1.0,1,4.0,"[('diarrhea', 1), ('pain', 1)]",-0.9121
Accolate,0.22625,10.0,2,19.0,[],2.2625
Accutane,0.15202252964426877,8.411067193675889,253,23.32806324110672,"[('pain', 50), ('headache', 10), ('anxiety', 6)]",1.2786717117905293
Acebutolol,0.25985,9.5,2,13.0,[],2.4685750000000004
Acetaminophen,-0.0234,6.428571428571429,7,11.428571428571429,"[('pain', 6), ('fever', 2), ('dizziness', 1)]",-0.15042857142857144
Acetaminophen / aspirin / caffeine,-0.07156,7.6,55,10.527272727272727,"[('pain', 26), ('headache', 21), ('nausea', 6)]",-0.543856
Acetaminophen / aspirin / caffeine / salicylamide,0.8353,10.0,1,7.0,"[('headache', 1), ('pain', 1)]",8.353
Acetaminophen / butalbital,-0.36012222222222223,8.777777777777779,9,8.666666666666666,"[('headache', 8), ('vomiting', 1), ('pain', 1)]",-3.1610728395061733
Acetaminophen / butalbital / caffeine,0.11899753086419752,9.08641975308642,81,25.320987654320987,"[('headache', 61), ('pain', 22), ('nausea', 4)]",1.0812615150129552
Acetaminophen / butalbital / caffeine / codeine,-0.24730000000000002,9.142857142857142,7,9.0,"[('headache', 5), ('pain', 4), ('vomiting', 1)]",-2.2610285714285716
Acetaminophen / caffeine,-0.7723,9.0,1,5.0,"[('headache', 1)]",-6.950699999999999
Acetaminophen / caffeine / dihydrocodeine,-0.6368428571428572,8.428571428571429,7,5.142857142857143,"[('pain', 6), ('constipation', 1)]",-5.367675510204082
Acetaminophen / caffeine / isometheptene mucate,-0.25762,8.6,5,7.4,"[('headache', 4), ('pain', 2)]",-2.215532
Acetaminophen / caffeine / magnesium salicylate,0.8988,10.0,1,5.0,"[('pain', 1)]",8.988
Acetaminophen / chlorpheniramine,0.8166,9.0,1,7.0,[],7.3494
Acetaminophen / chlorpheniramine / phenylephrine,-0.7902,2.0,2,2.0,"[('headache', 1), ('anxiety', 1)]",-1.5804
Acetaminophen / codeine,-0.46136851851851857,5.314814814814815,54,19.64814814814815,"[('pain', 48), ('headache', 4), ('nausea', 3)]",-2.452088237311386
Acetaminophen / dextromethorphan / phenylephrine,-0.0754,10.0,1,1.0,[],-0.754
Acetaminophen / dichloralphenazone / isometheptene mucate,0.005041379310344839,8.931034482758621,29,8.068965517241379,"[('headache', 14), ('pain', 6), ('nausea', 6)]",0.04502473246135563
Acetaminophen / diphenhydramine,0.03954545454545455,5.363636363636363,11,22.818181818181817,"[('pain', 4), ('insomnia', 2), ('dry mouth', 1)]",0.21210743801652893
Acetaminophen / diphenhydramine / phenylephrine,-0.8176,1.0,1,3.0,[],-0.8176
Acetaminophen / hydrocodone,-0.30863992805755397,8.10431654676259,278,30.41726618705036,"[('pain', 234), ('nausea', 22), ('headache', 17)]",-2.50131567594845
Acetaminophen / oxycodone,-0.26838387096774197,8.543010752688172,186,32.494623655913976,"[('pain', 168), ('nausea', 14), ('constipation', 9)]",-2.2928062955254944
Acetaminophen / pamabrom,0.24228,9.8,5,10.4,"[('pain', 5)]",2.3743440000000002
Acetaminophen / pentazocine,-0.65535,8.5,2,15.5,"[('pain', 2)]",-5.570475
Acetaminophen / phenyltoloxamine,0.4906333333333333,9.0,3,9.333333333333334,"[('pain', 2), ('headache', 1), ('dry mouth', 1)]",4.4157
Acetaminophen / propoxyphene,-0.3887181818181818,7.2272727272727275,22,20.181818181818183,"[('pain', 20), ('headache', 3), ('constipation', 1)]",-2.8093723140495865
Acetaminophen / pseudoephedrine,0.4462333333333333,10.0,3,7.0,"[('headache', 2), ('dry mouth', 1)]",4.4623333333333335
Acetaminophen / tramadol,-0.23735882352941176,8.0,17,51.05882352941177,"[('pain', 16), ('fever', 1), ('sweating', 1)]",-1.898870588235294
Acetazolamide,-0.16376041666666666,6.9375,48,16.4375,"[('headache', 19), ('pain', 9), ('nausea', 4)]",-1.136087890625
Acetohydroxamic acid,-0.7346,9.0,1,4.0,[],-6.611400000000001
Acetylcysteine,0.13614285714285715,9.571428571428571,7,27.857142857142858,"[('headache', 1)]",1.3030816326530612
Acidophilus,0.1099375,9.0,8,55.625,"[('pain', 2), ('constipation', 1)]",0.9894375
Aciphex,-0.10546875,9.4375,16,24.4375,"[('pain', 5), ('headache', 2), ('diarrhea', 1)]",-0.995361328125
Acitretin,0.017983333333333334,7.5,6,45.0,"[('weakness', 1)]",0.134875
Aclidinium,0.7099666666666667,9.333333333333334,3,31.0,[],6.626355555555556
Acrivastine / pseudoephedrine,-0.5574,10.0,1,11.0,[],-5.574
Actemra,0.25423999999999997,7.8,10,22.5,"[('pain', 6), ('fatigue', 2), ('headache', 1)]",1.9830719999999997
Acthar,0.26765,7.5,2,7.5,[],2.007375
